user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
33451976,bolatubuge,20,37,1193,1785,13,[],25,0,[]
33454639,林杉的私人生活,17,41,1186,2082,19,[],27,0,[]
33525498,囡lovexixi,20,28,1191,1915,9,[],27,0,[]
33534214,lcssdy,20,36,1182,1784,18,[],22,0,[]
33548229,王珏的老婆仔,16,44,1177,1810,16,[],30,0,[]
33556713,nicksysu,15,36,1190,1777,18,[],27,0,[]
33563471,lixiaoyulijia,16,36,1168,1789,10,[],29,0,[]
33583194,fightcat,14,35,1174,1940,9,[],26,1,"[{'liuyan_user_id': '71692782', 'liuyan_time': '2017-11-27 22:50:35'}]"
33588076,pegciqueen,16,28,1197,1822,10,[],22,0,[]
33598823,meiding,17,33,1169,1790,15,[],31,0,[]
33599695,snow_,10,29,1174,1861,22,[],29,0,[]
33608016,maxinezz,19,36,1188,1853,11,[],25,0,[]
33611081,ipcbaotao,10,41,1179,1739,14,[],26,0,[]
33653769,nnnancy,18,28,1194,1774,15,[],19,0,[]
33681784,jimmyklx,17,42,1194,1917,13,[],26,0,[]
33697202,linlibai,18,30,1185,1877,9,[],23,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2017-12-31 12:23:47'}]"
33724784,jinai,17,27,1201,1803,18,[],25,1,"[{'liuyan_user_id': '93376327', 'liuyan_time': '2017-01-06 20:11:51'}]"
33737266,tengtengchou,9,39,1188,1933,14,[],19,0,[]
33747576,tinafotvb,20,34,1191,1789,18,[],27,0,[]
33757202,michealzhang,15,36,1196,1799,14,[],22,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2019-01-08 08:44:33'}]"
33787251,双行道单行道,18,29,1186,1760,14,[],17,0,[]
33814227,潞潞銠ma,17,31,1171,1735,12,[],27,0,[]
33817060,gracexiaoljs,10,43,1187,1881,11,[],21,1,"[{'liuyan_user_id': '48070171', 'liuyan_time': '2019-03-13 16:30:19'}]"
33827023,yangbo,17,41,1189,1810,14,[],27,1,"[{'liuyan_user_id': '70856510', 'liuyan_time': '2016-08-16 08:45:59'}]"
33828324,raincao,18,29,1173,1957,10,[],29,0,[]
33835117,cycmandy,18,37,1187,1713,13,[],20,0,[]
33873510,紫魔的眼泪,19,32,1179,1857,13,[],26,0,[]
33874017,honey,16,40,1179,1877,15,[],17,0,[]
33880124,davygn,19,36,1193,1747,16,[],29,0,[]
33883038,lvwei_ivy,17,32,1193,1792,16,[],25,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-11-27 12:05:34'}]"
33896061,longchengjiari,19,40,1177,2033,18,[],21,0,[]
33913854,向日葵的方向,19,34,1182,1894,14,[],25,0,[]
33952472,monicacn,19,38,1200,1857,8,[],19,1,"[{'liuyan_user_id': '46095190', 'liuyan_time': '2018-08-28 08:51:12'}]"
33959708,vanessa_ja,11,35,1172,1753,11,[],34,0,[]
33984189,qianwhisper,18,28,1177,1717,13,[],21,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-11-07 22:40:22'}]"
34028475,单纯的菇菇,17,29,1203,1863,15,[],20,0,[]
34029680,wendy_gao,10,30,1184,1792,11,[],30,0,[]
34033247,dianazhow,12,35,1181,1724,19,[],29,0,[]
34056053,harryrhfish,16,32,1194,1826,10,[],19,0,[]
34074566,pilivox,13,32,1191,1721,9,[],28,0,[]
34080990,rongrongdazhi,18,39,1182,1761,10,[],25,0,[]
34098123,blckt,18,28,1180,1762,20,[],20,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-04-03 22:22:41'}]"
34100233,看海的小包纸,15,29,1176,1851,20,[],20,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-03-29 17:04:14'}]"
34100580,再遇下雨天,16,33,1183,1847,14,[],25,0,[]
34119885,esteekay,18,35,1190,1767,11,[],28,0,[]
34133249,olivia,16,39,1185,1839,10,[],24,1,"[{'liuyan_user_id': '94024988', 'liuyan_time': '2017-07-20 15:36:40'}]"
34155942,yukisnowyu,19,37,1182,1707,21,[],26,1,"[{'liuyan_user_id': '17177818', 'liuyan_time': '2016-02-29 21:06:10'}]"
34158719,yingtian_shao,16,36,1186,1815,15,[],28,0,[]
34164897,kaixinhuihui,18,28,1181,1888,18,[],30,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-10-15 05:42:48'}]"
34183290,xhzqq,15,28,1194,1932,22,[],34,0,[]
34202612,等待长大的孩子,19,35,1185,1833,13,[],24,0,[]
34230393,haiyijiayuan,15,37,1177,1750,18,[],31,0,[]
34230899,godude,16,29,1204,1997,18,[],16,0,[]
34250245,super萝卜萱小萱,16,41,1200,1950,18,[],17,0,[]
34263235,cartercss,18,31,1172,2048,10,[],23,1,"[{'liuyan_user_id': '33261736', 'liuyan_time': '2015-11-18 10:07:55'}]"
34297582,美丽心情甜,19,33,1179,2003,11,[],19,0,[]
34309691,aydakk,19,29,1210,1737,14,[],23,0,[]
34380151,sarahzhang_tb,20,32,1186,2216,11,[],19,0,[]
34381122,soladadcao,16,28,1193,1833,13,[],21,1,"[{'liuyan_user_id': '40023476', 'liuyan_time': '2017-12-17 12:03:25'}]"
34423233,whale,20,41,1180,1823,18,[],33,0,[]
34424565,mellamogata,20,30,1210,1933,6,[],17,0,[]
34461009,mengates,13,36,1189,1882,13,[],21,0,[]
34467231,hins_lei,17,32,1193,1871,6,[],17,0,[]
34529602,angelawu,20,38,1202,1846,14,[],22,0,[]
34538358,candylu,10,39,1182,1881,21,[],22,1,"[{'liuyan_user_id': '76767767', 'liuyan_time': '2016-08-17 16:09:57'}]"
34542592,齐天大圣ln,19,33,1183,1848,6,[],29,0,[]
34565257,liberty,18,33,1175,1813,12,[],25,0,[]
34596511,yangming,16,38,1186,1898,19,[],36,0,[]
34631768,loststh,19,36,1193,1960,15,[],20,0,[]
34632837,宁静雨asd,15,39,1196,1781,11,[],76,0,[]
34657779,jishuang,18,36,1184,1833,12,[],30,0,[]
34684251,一心意的爱,15,37,1176,1916,17,[],30,0,[]
34692780,ackkmm,14,39,1185,1729,14,[],25,0,[]
34705650,我是小保君,15,28,1190,1739,7,[],26,1,"[{'liuyan_user_id': '42536543', 'liuyan_time': '2016-03-22 11:31:34'}]"
34706064,shinhwaxl,19,34,1179,1814,7,[],31,0,[]
34707299,pchybaby,18,31,1202,1842,10,[],24,0,[]
34716320,vitalman,20,28,1199,1692,17,[],16,0,[]
34752064,大雄行天下,12,35,1172,1731,12,[],23,0,[]
34790279,love_elva,15,35,1184,1799,13,[],25,0,[]
34816871,freshfruitrr,15,37,1182,1794,10,[],26,0,[]
34834097,bluebluefly,14,34,1177,1800,12,[],23,0,[]
34835343,卷卷的幸福,15,29,1180,1774,15,[],17,0,[]
34837488,willyyang,18,35,1185,1746,10,[],28,0,[]
34855750,jasonluopeng,10,39,1198,1839,11,[],20,0,[]
34856517,dadaaaron,17,41,1179,1889,13,[],22,0,[]
34859050,dance小不点,20,34,1187,1881,13,[],22,1,"[{'liuyan_user_id': '46255841', 'liuyan_time': '2016-02-09 21:07:03'}]"
34879619,yovisa,16,40,1184,2012,14,[],27,0,[]
34892939,我爱吃meat,18,33,1183,1809,15,[],24,0,[]
34908107,courage,15,32,1195,1836,12,[],31,0,[]
34908591,卡卡mickey,18,42,1189,1750,16,[],30,0,[]
34925219,王一石ww,18,33,1187,1776,12,[],20,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-03-29 17:01:38'}]"
34927058,o新奇杂货铺o,16,26,1206,1852,14,[],17,0,[]
34934800,caijyu,18,34,1190,1730,14,[],27,0,[]
34937599,shanike,11,40,1200,1756,10,[],22,0,[]
34975498,xinzai_,13,35,1188,1834,10,[],16,0,[]
35002280,unbelievablefish,20,43,1196,1884,19,[],24,1,"[{'liuyan_user_id': '316526', 'liuyan_time': '2018-01-16 17:31:13'}]"
35032803,jiangyingsi,12,32,1172,1742,9,[],16,0,[]
